name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
MC_QCD_100_200,/QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,80684349,27480000,1.23939774242958E-08,340.5864996196,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_200_300,/QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,18722416,1720000,1.73670228336232E-08,29.8712792738,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_200_300_ext1,/QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,38857977,1720000,1.73670228336232E-08,29.8712792738,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_300_500,/QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,17035891,339500,1.83358718431107E-08,6.2250284907,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_300_500_ext1,/QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,37502012,339500,1.83358718431107E-08,6.2250284907,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_500_700,/QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,18929951,32140,1.60587511337278E-08,0.5161282614,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_500_700_ext1,/QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v2/MINIAODSIM,43341392,32140,1.60587511337278E-08,0.5161282614,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_700_1000,/QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,15629253,6960,0.000000022,0.1532608222,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_700_1000_ext1,/QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,29783527,6960,0.000000022,0.1532608222,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
MC_QCD_1000_1500,/QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,4767100,1210,6.61056806396227E-08,0.0799878736,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
