name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp800Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,232625,21.560000,0.00000430,0.092681,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Wid_Tp800Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500WID_Tp800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,249184,0.518500,0.00000401,0.002081,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,245160,13.830000,0.00000408,0.056412,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Wid_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500WID_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,246616,0.302200,0.00000405,0.001225,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,246056,1.902000,0.00000406,0.007730,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1500Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1500WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,246040,0.080800,0.00000406,0.000328,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1750Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1750Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,246290,4.429000,0.00000406,0.017983,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp1750Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp1750WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,247675,4.426000,0.00000404,0.017870,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2000Nar_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2000Nar_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,246855,5.647000,0.00000405,0.022876,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2000Wid_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2000WID_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,246638,0.141100,0.00000405,0.000572,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2000Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2000WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,238983,0.077490,0.00000418,0.000324,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2000Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2000Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,245363,2.131000,0.00000408,0.008685,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2000Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2000WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,236319,0.044810,0.00000423,0.000190,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2250Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2250Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,244627,2.399000,0.00000409,0.009807,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2250Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2250WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v4/MINIAODSIM,244596,2.403000,0.00000409,0.009824,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2250Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2250Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,248588,1.744000,0.00000402,0.007016,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2250Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2250WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,241442,1.737000,0.00000414,0.007194,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToHT_Zp2500Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToHT_Zp2500Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,249066,1.507000,0.00000402,0.006051,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
