name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-1500Nar_Mtp-700Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-1500Nar_MTp-700Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,232956,95.06,4.29E-06,0.4080598911,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-1500Nar_Mtp-900Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-1500Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,233247,138.07,4.29E-06,0.591947592,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-1500Nar_Mtp-1200Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-1500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,232087,99.03,4.31E-06,0.4266934382,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Nar_Mtp-900Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,229339,55.83,4.36E-06,0.2434387522,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Nar_Mtp-1200Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,197385,86.28,5.07E-06,0.4371152823,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Nar_Mtp-1200Nar_RH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Nar_MTp-1200Nar_RH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,228603,86.13,4.37E-06,0.3767667091,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Nar_Mtp-1200Wid_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Nar_MTp-1200Wid_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,225198,0.0006689,4.44E-06,2.97E-06,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Nar_Mtp-1500Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,229497,83.47,4.36E-06,0.3637084581,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2000Wid_Mtp-1200Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2000Wid_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,232338,7.71,4.30E-06,0.0331844124,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2500Nar_Mtp-1200Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,226697,37.6,4.41E-06,0.1658601569,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
minimal_ZprimeToTprimeT_TprimeToWB_Mzp-2500Nar_Mtp-1500Nar_LH,/ZprimeToTprimeT_TprimeToWB_MZp-2500Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,227926,53.9,4.39E-06,0.2364802611,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
