name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-700Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-700Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,207419,3.62000000,0.00000482,0.01745260,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-900Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,205787,3.57100000,0.00000486,0.01735289,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-1500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,203617,1.73100000,0.00000491,0.00850125,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-900Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,204023,1.30500000,0.00000490,0.00639634,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,196615,1.25100000,0.00000509,0.00636269,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Nar_RH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Nar_RH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,206379,1.24800000,0.00000485,0.00604713,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Wid_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1200Wid_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,200707,0.00000978,0.00000498,0.00000005,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Wid_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Wid_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,209543,0.12900000,0.00000477,0.00061563,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2000Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,191445,0.82460000,0.00000522,0.00430724,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2500Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,207688,0.51120000,0.00000481,0.00246138,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToHT_MZp-2500Nar_MTp-1500Nar_LH,/ZprimeToTprimeT_TprimeToHT_MZp-2500Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,207043,0.47750000,0.00000483,0.00230628,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
