name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-700Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-700Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,197390,186.70000000,0.00000507,0.94584325,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-900Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,205947,320.40000000,0.00000486,1.55574007,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-1500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,201839,285.10000000,0.00000495,1.41251195,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-900Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-900Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,206508,114.70000000,0.00000484,0.55542642,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,205497,205.60000000,0.00000487,1.00050122,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Nar_RH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Nar_RH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,199286,205.90000000,0.00000502,1.03318848,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Wid_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1200Wid_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,202651,157.70000000,0.00000493,0.77818516,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Wid_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Wid_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,207714,18.40000000,0.00000481,0.08858334,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2000Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,203441,214.10000000,0.00000492,1.05239357,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2500Nar_MTp-1200Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2500Nar_MTp-1200Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,206568,83.50000000,0.00000484,0.40422524,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_MZp-2500Nar_MTp-1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_MZp-2500Nar_MTp-1500Nar_LH_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,206117,124.20000000,0.00000485,0.60257038,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,MadGraph
