name,dataset,#events,XS,weighting,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,247102,1.447,0.00000405,0.005856,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1500Wid_Tp800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500WID_Tp800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,246205,1.444,0.00000406,0.005865,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,241908,1.462,0.00000413,0.006044,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1500Wid_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500WID_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,246976,1.446,0.00000405,0.005855,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,228784,1.449,0.00000437,0.006333,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1500Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1500WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,218560,1.445,0.00000458,0.006611,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1750Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1750Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,239949,1.448,0.00000417,0.006035,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp1750Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp1750WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,233676,1.447,0.00000428,0.006192,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,231280,1.446,0.00000432,0.006252,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Wid_Tp1000Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000WID_Tp1000Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,248436,1.444,0.00000403,0.005812,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,245672,1.426,0.00000407,0.005804,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,241763,1.443,0.00000414,0.005969,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,246176,1.443,0.00000406,0.005862,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2000Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2000WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,199968,1.446,0.00000500,0.007231,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2250Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2250Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,200688,1.443,0.00000498,0.007190,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2250Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2250WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,226634,1.446,0.00000441,0.006380,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2250Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2250Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,248682,1.442,0.00000402,0.005799,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2250Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2250WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,234028,1.447,0.00000427,0.006183,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,243796,1.444,0.00000410,0.005923,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Wid_Tp1300Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500WID_Tp1300Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,247156,1.446,0.00000405,0.005851,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,240146,1.443,0.00000416,0.006009,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,243098,1.443,0.00000411,0.005936,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500Nar_Tp1800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,239612,1.445,0.00000417,0.006031,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2500Wid_Tp1800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2500WID_Tp1800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,246440,1.449,0.00000406,0.005880,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2750Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2750Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,245136,1.455,0.00000408,0.005935,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp2750Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp2750WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,240760,1.445,0.00000415,0.006002,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp3000Nar_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp3000Nar_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,237548,1.446,0.00000421,0.006087,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp3000Wid_Tp1500Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp3000WID_Tp1500Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,236560,1.447,0.00000423,0.006117,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp3000Nar_Tp1800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp3000Nar_Tp1800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,237616,1.447,0.00000421,0.006090,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
ZprimeToTprimeT_TprimeToZT_Zp3000Wid_Tp1800Nar_LH,/ZprimeToTprimeT_TprimeToZT_Zp3000WID_Tp1800Nar_LH_TuneCUETP8M2T4_13TeV-madgraph-pythia8_V2/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,240976,1.449,0.00000415,0.006013,NONE,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,MadGraph
